Geneid	HCT_NS_1	HCT_NS_2	HCT_NS_3	HCT_TNF_1	HCT_TNF_2	HCT_TNF_3	SCZ_NS_1	SCZ_NS_2	SCZ_NS_3	SCZ_TNF_1	SCZ_TNF_2	SCZ_TNF_3
ENSG00000227232.5	57	25	20	39	42	55	33	30	31	20	15	23
ENSG00000278267.1	15	20	8	18	13	30	7	11	6	23	7	12
ENSG00000238009.6	14	18	13	16	24	25	11	18	11	11	16	22
ENSG00000268903.1	10	15	8	9	21	20	6	18	16	23	8	20
ENSG00000269981.1	16	23	20	35	31	39	13	11	11	19	13	24
ENSG00000241860.7	13	0	2	8	2	22	0	6	1	8	4	3
ENSG00000279457.4	89	116	49	67	81	130	65	62	77	53	69	64
ENSG00000228463.10	21	8	2	20	11	31	7	10	8	10	7	10
ENSG00000237094.12	23	31	16	21	29	52	14	26	17	16	18	22
ENSG00000225630.1	2110	768	1772	1490	524	3902	416	1152	1586	798	829	2902
ENSG00000237973.1	161	84	92	162	62	264	32	90	120	88	110	166
ENSG00000229344.1	14	24	18	20	12	42	14	8	26	16	22	30
ENSG00000248527.1	7908	5555	6984	6827	4056	15853	2650	6118	6962	5532	12579	10594
ENSG00000228327.4	152	114	61	155	112	242	68	65	87	77	112	107
ENSG00000237491.10	66	78	43	80	34	55	26	49	32	50	31	34
ENSG00000230092.7	12	12	3	10	3	33	9	3	15	10	10	12
ENSG00000228794.11	366	370	273	351	328	669	203	286	291	284	310	350
ENSG00000225880.5	40	75	42	50	66	79	57	32	36	36	59	37
ENSG00000188976.11	1238	1404	878	1155	1647	2072	765	1048	789	1144	1198	981
ENSG00000187961.15	261	418	99	203	238	355	201	208	107	285	166	164
ENSG00000187583.11	54	107	63	76	89	100	68	86	22	79	102	52
ENSG00000188290.11	13	24	0	25	38	42	2	22	18	24	22	14
ENSG00000187608.10	702	1294	744	960	1862	2775	548	715	1028	835	1118	1040
ENSG00000188157.15	11578	15007	6974	9366	13344	18463	7617	9221	7906	9687	10264	8080
ENSG00000217801.11	78	87	62	62	60	132	33	57	58	68	105	61
ENSG00000131591.18	322	333	155	231	331	408	195	238	164	220	236	232
ENSG00000186891.14	16	48	36	64	70	142	18	46	30	59	134	69
ENSG00000186827.11	95	113	81	115	144	370	34	104	69	77	354	166
ENSG00000078808.19	4141	5168	3119	3739	5394	7422	2563	3553	2569	3703	4294	3304
ENSG00000176022.7	540	671	509	498	553	979	340	385	418	428	715	609
ENSG00000184163.3	2	8	4	4	8	11	3	10	4	3	22	5
ENSG00000160087.21	900	1082	682	840	993	1750	585	809	708	783	1179	797
ENSG00000230415.1	7	7	9	5	6	29	4	9	6	8	20	4
ENSG00000162572.21	36	63	55	41	43	105	20	49	34	29	43	41
ENSG00000131584.19	2251	2374	1054	1721	2378	2973	1274	1685	1180	1728	1973	1243
ENSG00000169972.12	241	341	207	221	332	447	169	188	164	215	302	198
ENSG00000127054.22	1124	1289	641	998	1167	1731	693	978	725	926	821	745
ENSG00000240731.1	26	21	13	34	29	47	13	37	36	30	36	2
ENSG00000224051.7	610	675	466	499	605	1049	362	500	399	507	680	546
ENSG00000169962.5	10	26	14	2	6	22	4	6	8	10	8	2
ENSG00000107404.21	815	1154	668	713	927	1324	594	688	564	709	768	705
ENSG00000175756.14	988	940	733	967	1234	1680	610	711	619	832	1184	812
ENSG00000221978.13	2045	2076	1372	1734	1847	3452	1109	1625	1369	1612	1869	1696
ENSG00000224870.8	216	278	154	223	252	406	116	198	142	210	270	186
ENSG00000242485.6	630	746	486	569	706	1234	304	496	501	549	903	619
ENSG00000272455.1	38	58	16	39	64	75	37	28	19	28	45	24
ENSG00000179403.12	14	12	24	20	44	34	14	18	10	14	8	30
ENSG00000160072.20	612	756	330	668	726	923	371	583	336	553	615	444
ENSG00000197785.14	456	565	325	473	630	752	356	403	265	469	460	319
ENSG00000160075.12	2172	2307	1926	1816	2085	4540	1255	1678	1808	1680	2642	2173
ENSG00000215014.5	39	57	31	18	22	76	35	35	43	34	35	53
ENSG00000228594.4	742	1030	660	670	836	1510	458	695	664	664	908	896
ENSG00000286989.1	72	79	53	59	70	131	58	52	57	52	55	70
ENSG00000272106.1	110	122	106	96	130	221	60	104	61	112	143	88
ENSG00000197530.13	827	1029	414	643	828	1032	528	694	520	755	779	543
ENSG00000248333.9	567	631	402	436	628	1064	283	460	400	466	406	500
ENSG00000189339.12	1372	1400	835	1173	1297	2128	843	1181	957	1017	1187	988
ENSG00000008128.23	94	81	48	49	69	143	36	45	48	57	76	31
ENSG00000268575.1	126	95	62	86	110	159	71	115	110	102	120	57
ENSG00000215790.8	130	131	66	111	134	235	100	142	72	88	111	86
ENSG00000008130.15	3668	4494	2192	3284	3812	6980	2170	3102	2912	3355	3254	3313
ENSG00000078369.18	9664	10450	8499	8306	8818	20238	5148	7841	8001	6994	9842	10332
ENSG00000231050.2	34	50	18	25	26	64	20	40	40	22	32	24
ENSG00000178821.13	2	10	16	2	6	18	0	8	4	8	22	14
ENSG00000067606.17	61	47	43	54	58	120	37	44	54	46	66	35
ENSG00000182873.5	13	8	4	0	8	24	7	8	2	6	2	10
ENSG00000162585.17	551	634	321	412	725	909	352	453	410	419	561	436
ENSG00000157933.10	4509	5049	2801	3219	4411	6610	2839	3592	3461	2885	2672	2975
ENSG00000116151.14	101	132	92	106	127	221	63	101	82	106	98	121
ENSG00000269896.2	10	11	15	20	14	28	0	13	14	17	14	16
ENSG00000157916.20	2059	2182	1559	1907	1855	3693	1114	1681	1456	1505	2037	1905
ENSG00000157911.11	433	438	403	386	446	918	272	337	361	351	493	503
ENSG00000149527.18	23	28	6	14	25	42	11	28	11	24	4	0
ENSG00000157881.16	778	838	538	626	712	1288	423	615	493	531	741	604
ENSG00000272449.2	75	89	30	46	70	105	46	60	42	72	88	34
ENSG00000238164.6	373	486	388	327	402	1157	149	289	411	334	894	590
ENSG00000157873.18	6906	8234	3930	4729	6328	11318	4063	5355	5400	5898	5851	5413
ENSG00000225931.3	36	54	25	27	31	98	12	36	30	30	40	22
ENSG00000228037.1	4	0	6	5	5	22	2	4	10	2	3	6
ENSG00000157870.17	2458	2566	3274	2053	2182	6873	1104	1892	2699	2103	5544	3998
ENSG00000142606.16	30	18	20	16	28	36	10	14	6	14	10	19
ENSG00000215912.12	280	291	140	184	201	430	184	214	208	202	216	257
ENSG00000177133.13	2	2	11	2	4	25	0	6	9	0	16	8
ENSG00000142611.17	12	4	8	0	0	24	2	4	8	1	4	22
ENSG00000287828.1	15	13	12	2	2	28	4	0	6	5	11	12
ENSG00000130762.15	41	46	12	24	32	38	27	23	18	24	32	18
ENSG00000162591.16	1839	2343	1780	1579	2046	4882	1029	1622	2150	1533	3031	2073
ENSG00000238260.2	14	24	8	22	28	16	20	22	12	16	6	6
ENSG00000158109.15	1208	1213	863	875	920	1920	622	854	821	748	935	954
ENSG00000116213.16	391	434	281	351	351	593	246	334	265	324	304	299
ENSG00000078900.15	26	20	6	16	29	18	4	8	10	8	4	6
ENSG00000227372.12	516	598	443	480	518	1040	359	435	463	448	672	426
ENSG00000235169.11	34	47	40	8	48	51	14	21	26	14	52	18
ENSG00000130764.10	941	1159	742	877	1112	1451	573	872	669	823	1037	839
ENSG00000116198.14	1089	1373	808	969	1002	1883	639	910	770	902	1050	985
ENSG00000169598.17	222	234	121	152	199	286	92	129	109	167	148	162
ENSG00000198912.12	538	629	350	490	574	874	287	470	393	453	476	395
ENSG00000236423.7	243	213	175	188	159	395	132	140	167	153	210	179
ENSG00000131697.18	678	706	268	587	691	657	384	547	261	485	392	292
ENSG00000069424.16	12441	13331	7154	8973	11184	15661	6806	9244	7278	9470	8479	7963
ENSG00000116251.11	405	272	447	409	283	936	151	262	357	270	572	534
ENSG00000158286.13	40	59	23	91	78	62	46	59	36	80	50	34
ENSG00000116237.16	1738	1470	1255	1511	1189	2779	788	1097	1066	1127	1285	1418
ENSG00000158292.7	550	654	1137	406	505	1726	303	391	780	384	923	899
ENSG00000097021.20	1119	1271	1614	1325	1736	3236	670	963	1080	1126	2645	1683
ENSG00000069812.11	24	30	50	19	46	84	8	22	38	34	52	38
ENSG00000215788.11	48	96	28	87	136	164	31	100	46	104	50	34
ENSG00000171680.23	6	8	32	12	10	73	2	2	14	5	65	28
ENSG00000162408.11	568	602	400	561	472	1053	290	484	476	442	571	559
ENSG00000204859.13	803	916	451	702	948	1267	544	655	508	595	704	632
ENSG00000162413.17	1691	1909	1195	1539	1750	2449	948	1310	1020	1444	1770	1136
ENSG00000116273.6	521	494	325	508	534	791	304	431	381	377	441	331
ENSG00000041988.16	213	220	142	170	187	309	148	149	149	173	168	107
ENSG00000007923.17	1846	2008	1421	1743	2068	3749	1101	1435	1334	1524	2033	1926
ENSG00000171735.19	413	358	269	355	302	750	199	317	305	295	360	369
ENSG00000049245.13	2563	1939	2471	2069	1569	5597	1135	1714	2372	1562	3014	2945
ENSG00000269925.1	23	34	15	23	16	39	6	16	20	13	30	12
ENSG00000049246.15	1369	1209	1082	803	857	2627	609	847	1480	776	928	1343
ENSG00000049249.9	196	168	104	209	214	735	34	182	146	168	278	298
ENSG00000116288.13	1502	1318	1351	1402	1221	3225	698	989	1078	982	1729	1778
ENSG00000284747.1	40	38	24	32	24	42	15	26	13	30	27	20
ENSG00000116285.13	126	106	74	58	66	168	62	74	90	40	68	60
ENSG00000162426.16	20	30	3	18	8	26	10	11	12	6	12	10
ENSG00000142599.19	2380	2697	2340	1971	2351	5254	1393	1898	2280	1700	2163	2517
ENSG00000224315.2	21	10	13	17	12	12	12	20	5	7	12	10
ENSG00000074800.16	23969	24335	18540	20957	21677	44111	13270	18677	15603	17463	25053	23461
ENSG00000142583.18	768	775	298	496	403	633	515	627	348	472	180	331
ENSG00000180758.12	377	412	200	267	339	567	177	319	250	304	333	255
ENSG00000228526.7	2511	2475	1556	1619	1842	3931	1302	1749	1958	1665	2586	1956
ENSG00000234546.5	74	62	42	54	52	123	41	50	65	37	82	69
ENSG00000049239.13	2344	2838	1928	2248	2488	4457	1435	2180	1935	1864	2494	2276
ENSG00000171621.14	772	673	569	718	804	1132	376	725	535	740	749	709
ENSG00000171612.7	202	206	222	185	172	538	80	189	219	148	268	271
ENSG00000231181.1	12	9	16	14	9	41	14	14	27	15	9	6
ENSG00000188807.13	398	463	300	428	460	789	269	369	317	419	345	357
ENSG00000171608.17	3688	4584	2059	3065	3864	5532	2345	3358	2419	2939	2367	2839
ENSG00000171603.18	3108	3365	2360	2620	3341	5486	1986	2670	2124	2462	2738	2451
ENSG00000178585.15	578	498	485	356	443	1035	339	340	500	324	637	491
ENSG00000162441.12	647	575	539	545	482	1179	298	447	482	409	747	576
ENSG00000228150.1	11	8	8	8	16	27	14	11	10	5	14	6
ENSG00000173614.14	343	335	257	340	283	737	173	236	352	239	368	343
ENSG00000202415.1	42	33	18	29	36	45	27	30	25	51	47	39
ENSG00000162444.12	26	8	8	11	8	10	3	12	10	8	3	23
ENSG00000130939.20	2250	2296	1361	1776	1725	3205	1170	1695	1426	1536	1591	1666
ENSG00000233623.2	24	31	2	21	10	34	19	18	10	14	6	10
ENSG00000054523.20	6510	6510	4619	6080	5557	11300	3260	5230	4188	4572	6429	5738
ENSG00000284735.1	4	2	0	2	10	24	2	4	2	0	5	0
ENSG00000284642.1	74	116	34	58	92	162	44	78	26	40	84	47
ENSG00000142657.21	12688	12365	9013	11000	11251	24246	6545	9742	8888	9041	11175	12722
ENSG00000160049.12	867	966	607	727	787	1313	551	629	629	634	759	653
ENSG00000142655.13	1254	1539	878	858	1294	1842	723	982	858	972	1162	1039
ENSG00000130940.15	72	125	94	92	87	250	52	93	101	80	89	92
ENSG00000175262.14	59	44	29	32	61	86	46	37	68	21	41	40
ENSG00000120948.19	1749	1767	1350	1655	1261	3224	908	1348	1302	1229	1933	1612
ENSG00000116649.10	751	1024	818	943	1014	1758	460	668	683	768	1060	943
ENSG00000171824.14	1540	1721	1261	1408	1482	2691	812	1222	1151	995	1284	1474
ENSG00000226849.1	4	14	16	10	4	22	0	8	4	10	12	12
ENSG00000230337.2	12	18	10	8	22	20	4	2	14	20	28	15
ENSG00000198793.13	3385	3363	2398	2810	3077	6074	1770	2556	2584	2558	2787	2869
ENSG00000120942.14	395	342	377	395	396	830	201	286	336	274	371	374
ENSG00000116661.11	10	8	6	0	14	16	10	8	4	22	23	8
ENSG00000132879.14	305	405	352	295	384	762	231	291	323	269	501	394
ENSG00000116663.11	552	669	717	580	689	1779	331	435	627	458	857	839
ENSG00000116670.15	330	435	303	302	378	765	199	320	264	280	463	388
ENSG00000162490.7	32	26	57	42	72	138	23	22	58	18	96	32
ENSG00000177674.16	1997	2220	1418	1792	1892	3932	1185	1803	1552	1714	1543	2063
ENSG00000177000.13	3238	3496	1860	2097	3083	4738	1939	2494	2158	2106	2407	2130
ENSG00000011021.23	1561	1667	775	1116	1188	2335	821	1125	1045	1055	967	1131
ENSG00000285646.2	17	18	20	32	24	60	5	10	14	20	57	37
ENSG00000201801.1	4	2	2	4	2	21	0	4	2	2	6	12
ENSG00000116685.16	1842	2086	1292	1447	1762	2866	1093	1480	1175	1416	1341	1401
ENSG00000083444.17	4306	4931	2907	3305	4256	6930	2690	3328	2837	3107	2867	3442
ENSG00000116688.18	3593	3927	3113	3435	4150	7711	2063	2997	2794	2902	4359	4016
ENSG00000116691.11	991	1105	676	679	1148	1648	681	676	764	797	931	880
ENSG00000120949.15	73	73	43	28	55	73	54	63	50	26	42	43
ENSG00000028137.19	4925	5918	3270	4081	4881	6856	3130	4484	3125	4231	3742	3514
ENSG00000048707.15	5029	5168	3603	4286	4173	9325	2667	3916	3729	3455	4667	4708
ENSG00000229484.2	39	34	18	18	31	33	24	20	27	19	35	22
ENSG00000162496.9	342	293	115	197	261	200	172	235	130	165	160	115
ENSG00000162494.6	3	16	8	26	20	24	16	36	2	40	2	4
ENSG00000162493.17	3009	3489	855	3858	3575	2777	1838	3390	970	3139	1394	1279
ENSG00000116731.23	2595	2630	1810	2112	2121	4545	1361	2029	2074	2011	2005	2307
ENSG00000289380.1	41	57	38	38	42	53	10	32	38	37	58	36
ENSG00000189337.17	28	20	68	12	13	88	4	6	32	16	65	46
ENSG00000175147.13	180	190	83	92	116	189	162	114	118	128	126	102
ENSG00000171729.14	1106	1281	634	867	1148	1635	677	988	792	884	731	734
ENSG00000278480.1	14	13	3	10	16	30	13	12	9	11	13	10
ENSG00000142621.21	73	100	27	37	73	50	53	62	20	58	6	22
ENSG00000228140.2	2	9	9	11	10	28	2	20	4	8	27	11
ENSG00000142634.13	5025	5934	3968	4617	5937	9281	2902	4190	3485	4014	6471	4450
ENSG00000132906.18	458	501	267	468	397	673	271	383	264	364	360	279
ENSG00000116138.13	734	746	518	666	583	1493	310	581	519	473	448	672
ENSG00000197312.12	2271	1809	1685	1825	1699	3667	996	1661	1592	1739	2192	2278
ENSG00000116786.13	7672	8961	5413	5539	7163	12636	4371	5865	5730	5609	6765	6105
ENSG00000162461.8	110	134	45	86	142	194	81	88	80	75	72	90
ENSG00000233954.7	88	108	100	110	88	213	42	76	112	98	208	118
ENSG00000179743.4	66	100	49	29	68	131	38	66	46	42	87	76
ENSG00000065526.12	4512	5693	3599	4211	4975	9382	2912	4488	3599	3824	4135	4384
ENSG00000116809.12	845	1187	578	857	1273	1491	580	826	594	833	841	651
ENSG00000173641.18	50	46	58	94	113	140	26	74	20	60	84	22
ENSG00000186510.12	12	19	19	5	19	34	4	21	10	10	23	11
ENSG00000142627.13	24	42	45	29	34	99	18	28	32	20	39	46
ENSG00000142632.17	41	87	60	69	93	193	46	58	75	44	120	38
ENSG00000237276.9	22	10	31	18	24	63	17	12	35	8	29	15
ENSG00000288398.1	38	48	40	40	36	68	30	42	66	34	42	38
ENSG00000132881.12	45	29	24	33	52	81	26	29	36	41	62	32
ENSG00000037637.11	1306	1440	1017	1166	1100	2541	709	1058	1008	931	1495	1281
ENSG00000055070.17	4030	4796	3335	3841	4206	8282	2275	3525	3160	3422	4916	4496
ENSG00000157191.20	3894	4164	3087	3652	3585	7404	2158	3139	3027	3002	3949	3707
ENSG00000226029.1	355	385	220	279	293	649	203	275	279	284	540	284
ENSG00000080947.15	178	237	95	138	209	298	125	177	193	177	224	194
ENSG00000206652.1	12	9	9	6	1	25	9	1	6	2	6	2
ENSG00000219481.11	1038	1014	569	733	784	1634	568	656	754	651	885	790
ENSG00000215908.10	747	907	415	639	769	1111	472	619	466	570	839	414
ENSG00000186301.8	16	18	13	16	15	41	8	14	16	18	9	17
ENSG00000058453.17	457	661	380	417	685	999	354	479	357	423	840	439
ENSG00000238142.3	54	40	62	26	62	128	24	50	64	48	86	64
ENSG00000159363.19	1283	1463	630	920	1132	1355	736	1007	752	903	825	666
ENSG00000117118.10	1486	1673	1292	1272	1386	3244	758	1216	1375	1224	1989	1768
ENSG00000117115.13	389	344	663	172	214	1238	220	193	675	156	549	645
ENSG00000159339.13	33	43	360	30	63	579	10	22	151	26	518	265
ENSG00000179051.14	7210	7894	5349	6241	7276	13141	4162	5768	4930	5512	6642	6400
ENSG00000074964.17	5973	7603	2672	4618	6446	6972	3903	5046	3418	4683	3692	3389
ENSG00000117154.12	312	603	152	309	788	795	257	513	402	241	154	280
ENSG00000280222.1	181	272	86	228	326	381	127	267	159	179	86	74
ENSG00000159423.17	673	827	403	556	712	1222	375	558	440	541	525	524
ENSG00000169991.11	423	482	294	405	505	818	281	397	305	308	470	335
ENSG00000272084.1	60	68	15	27	51	100	20	35	20	41	28	41
ENSG00000127481.15	12985	13993	8069	11553	11980	22168	6911	11040	9012	10057	9732	10966
ENSG00000230424.2	18	44	17	36	12	55	19	19	4	15	23	19
ENSG00000127463.16	2145	2394	1973	2206	2271	4168	1112	1713	1647	1664	2728	2160
ENSG00000053372.5	536	522	552	619	598	1165	342	456	421	440	941	637
ENSG00000211454.16	12	14	1	7	18	33	6	16	8	14	22	24
ENSG00000162482.5	21	24	18	19	16	54	15	11	22	7	40	38
ENSG00000053371.13	659	703	609	596	706	1361	395	491	588	442	906	680
ENSG00000040487.13	1225	1416	876	978	1325	1944	694	1044	795	974	1236	1062
ENSG00000077549.19	6015	6512	4707	5171	6059	12398	3441	4972	5343	4313	6219	6177
ENSG00000173436.15	129	121	128	121	106	255	57	112	101	87	179	114
ENSG00000158747.15	209	238	74	238	276	246	123	275	117	166	183	121
ENSG00000226396.1	44	76	8	42	43	80	30	28	33	32	41	43
ENSG00000162542.14	659	753	493	553	722	1392	379	467	577	477	764	805
ENSG00000169914.6	181	177	175	216	146	401	73	159	143	157	173	220
ENSG00000090432.7	1191	1159	951	1207	1175	2289	681	985	758	802	1205	1217
ENSG00000158825.6	1756	1949	1677	1628	1703	3641	903	1445	1538	1679	2587	2004
ENSG00000158828.8	2003	1947	1681	1424	1625	3269	1087	1401	1434	1383	1917	1667
ENSG00000117242.7	230	215	194	232	180	481	113	172	207	195	162	232
ENSG00000244038.11	3566	3708	2673	2924	3152	6282	1887	2741	2462	2579	2686	3086
ENSG00000117245.13	44	54	79	30	51	163	20	44	50	36	42	44
ENSG00000127483.19	3066	2860	2217	2687	2265	5580	1573	2376	2370	2077	3108	2615
ENSG00000075151.24	2863	2868	2240	2621	2472	6047	1590	2405	2396	2109	2664	2901
ENSG00000233072.1	10	8	2	10	2	40	6	8	6	5	6	7
ENSG00000236073.2	5	8	8	5	15	8	5	6	10	4	21	1
ENSG00000117298.16	260	313	471	389	392	896	202	354	345	263	651	413
ENSG00000142794.19	209	208	138	199	195	311	139	180	154	122	176	150
ENSG00000162551.14	6	14	6	8	12	16	11	10	8	11	25	14
ENSG00000076864.21	30	30	204	34	52	300	17	38	79	35	297	145
ENSG00000090686.16	1346	1217	1042	1246	978	2460	614	1036	1133	856	1471	1352
ENSG00000142798.20	347	478	728	452	596	1333	283	347	651	345	770	633
ENSG00000218510.9	125	113	78	101	88	170	49	94	103	71	120	122
ENSG00000070831.18	1106	967	747	984	748	2176	472	847	858	755	1275	1042
ENSG00000230068.2	38	62	29	42	38	91	29	52	43	41	58	30
ENSG00000184677.18	2278	2387	1287	1766	1995	3398	1248	1781	1408	1563	1376	1684
ENSG00000237200.1	13	20	8	7	12	49	3	6	16	4	12	18
ENSG00000173372.18	7245	8220	3209	6534	8210	10712	4864	6761	4334	5267	2312	4740
ENSG00000159189.13	18354	23093	7686	14076	20793	26042	11899	16315	11416	12318	5659	9955
ENSG00000173369.18	5240	5613	7028	4339	5181	17497	2927	3732	6569	3298	5448	7897
ENSG00000133216.17	1535	1725	952	1071	1548	2618	937	1101	1053	877	780	1035
ENSG00000004487.18	1066	896	745	983	873	1728	542	788	693	792	961	884
ENSG00000169641.14	1674	1833	1275	1433	1422	2842	904	1231	1308	1248	1390	1333
ENSG00000289014.1	34	34	15	50	22	66	15	19	48	27	37	27
ENSG00000261326.4	174	160	100	140	79	271	54	120	160	130	219	212
ENSG00000125944.21	1860	1672	1456	1804	1401	3743	823	1548	1381	1473	1709	1693
ENSG00000125945.15	278	281	295	285	236	528	84	247	216	216	288	262
ENSG00000249087.8	60	40	25	32	40	58	26	40	20	28	52	37
ENSG00000088280.20	22	24	10	11	11	22	16	16	9	11	6	6
ENSG00000007968.7	407	380	71	290	484	344	224	223	166	275	18	68
ENSG00000117318.9	778	1028	501	420	866	1056	660	696	692	342	568	450
ENSG00000142676.14	3704	3350	3520	3364	2948	8441	1805	2833	3305	2759	3630	4111
ENSG00000236810.7	40	47	16	24	24	87	18	48	24	43	39	47
ENSG00000011007.13	1919	2108	1162	1999	1857	3021	1180	1554	1150	1538	1364	1506
ENSG00000057757.10	985	812	478	676	655	1155	428	677	541	640	619	572
ENSG00000011009.11	949	1122	805	794	1008	1682	670	813	816	728	913	810
ENSG00000117308.15	584	598	339	414	579	898	325	391	340	456	534	458
ENSG00000117305.15	674	739	614	630	769	1416	378	525	519	457	699	657
ENSG00000179163.12	7597	7444	2161	4832	5017	6982	4380	5641	3931	3424	1710	2932
ENSG00000189266.13	1196	786	928	1146	654	2143	432	769	877	676	1207	1054
ENSG00000188529.15	1349	973	977	1297	866	2544	550	944	1010	819	1428	1329
ENSG00000185436.12	14	40	26	30	37	91	18	28	20	22	80	30
ENSG00000001460.18	49	63	52	31	38	64	42	23	24	27	42	41
ENSG00000001461.17	582	523	386	474	503	932	296	452	406	325	420	465
ENSG00000117602.13	995	843	747	860	723	1865	450	681	757	589	934	927
ENSG00000133226.18	2388	2738	1869	2320	2325	4980	1362	2075	2061	1951	2006	2314
ENSG00000169504.15	4191	3095	4027	4150	2370	9719	1587	2923	3581	2220	4888	5276
ENSG00000020633.19	749	1032	1053	860	888	2257	535	704	863	620	1137	1066
ENSG00000117614.10	491	438	420	512	410	977	266	426	334	398	525	471
ENSG00000284602.1	123	108	29	92	92	148	52	122	84	86	106	97
ENSG00000284657.1	10	20	4	4	16	24	8	20	11	15	10	12
ENSG00000117616.18	1590	1410	976	1346	1074	2597	708	1164	1163	1070	1591	1219
ENSG00000261349.1	36	22	8	12	12	30	10	9	14	16	12	8
ENSG00000183726.11	1962	1689	1856	1995	1391	4701	872	1519	1849	1311	2151	2463
ENSG00000204178.11	579	499	321	505	375	769	206	424	361	380	356	427
ENSG00000157978.12	1594	1844	1459	1365	1654	3147	767	1258	1193	1274	1893	1682
ENSG00000117643.15	399	422	229	265	433	515	277	303	258	265	328	287
ENSG00000162430.18	4397	5135	3264	4526	5405	6528	2818	4256	2465	4320	4157	3495
ENSG00000228172.5	29	25	14	26	24	52	2	28	20	16	20	8
ENSG00000117640.18	658	747	518	553	521	1270	341	458	465	519	596	630
ENSG00000127423.11	20	10	0	16	6	21	8	12	16	6	2	14
ENSG00000182749.6	41	30	56	52	44	157	40	28	78	36	68	69
ENSG00000117632.23	391	314	56	305	322	233	174	239	137	170	28	74
ENSG00000158006.14	543	534	448	450	519	783	317	420	366	321	517	453
ENSG00000158008.10	0	2	2	0	9	23	1	0	2	0	6	5
ENSG00000158014.15	4	12	0	17	20	10	11	6	0	22	0	2
ENSG00000175087.10	302	256	240	281	174	545	138	162	250	172	364	345
ENSG00000142684.9	128	102	120	86	137	237	66	82	62	101	237	124
ENSG00000130695.16	586	594	428	522	553	1072	340	397	392	405	400	491
ENSG00000142669.15	13122	13922	16753	12346	13381	38074	6809	10710	13829	9726	15661	19319
ENSG00000158062.21	1882	1793	932	1195	1574	2543	1028	1090	1205	1324	1148	1207
ENSG00000169442.9	1641	1112	2764	1098	1013	4841	570	901	2009	935	1674	2754
ENSG00000176092.17	8	19	2	16	23	18	12	16	4	10	9	8
ENSG00000176083.18	95	111	29	93	91	105	56	54	26	74	27	16
ENSG00000117682.17	1631	1545	1107	1508	1424	2802	878	1295	1141	1273	1336	1256
ENSG00000225891.2	35	27	16	13	21	44	6	23	31	16	15	15
ENSG00000198830.11	2336	1891	1584	1958	2111	3896	1140	1559	1595	1258	1952	1853
ENSG00000117676.14	8065	9079	7550	7136	8405	15727	4751	6209	6274	6289	9654	8083
ENSG00000260063.1	14	4	22	18	18	36	6	16	20	14	19	10
ENSG00000117713.21	4700	5094	3498	4285	4875	9193	2604	4071	3435	3611	3138	4223
ENSG00000060642.12	306	348	309	311	263	695	143	218	263	267	356	357
ENSG00000204160.12	1177	1196	818	964	1114	2108	607	902	926	884	846	1067
ENSG00000142751.15	608	605	437	499	534	1061	286	447	411	562	479	536
ENSG00000289554.1	39	50	24	29	33	72	13	34	36	26	44	30
ENSG00000198746.13	551	606	343	381	457	739	325	382	336	404	518	411
ENSG00000090273.14	950	1195	774	935	1197	1881	610	948	791	796	1041	857
ENSG00000090020.11	4723	5675	4172	4227	4710	10288	2715	4118	4386	4136	4429	5333
ENSG00000225159.1	4	2	0	2	0	34	8	2	6	2	12	6
ENSG00000142784.16	2378	2584	1783	1892	2161	4033	1399	1968	1873	1935	1896	2010
ENSG00000186501.15	612	559	394	480	521	899	256	454	397	535	459	460
ENSG00000241547.1	12	24	6	11	24	34	9	19	8	19	10	13
ENSG00000142765.18	194	208	424	165	268	508	121	137	157	161	581	249
ENSG00000142733.17	1031	1140	765	653	885	1802	578	648	854	608	919	751
ENSG00000181773.7	12	16	2	6	8	28	8	22	2	10	12	8
ENSG00000158195.11	7295	7381	5770	5950	6973	13210	3912	5931	5421	5185	6213	6712
ENSG00000126705.15	933	1276	799	821	1148	2079	580	731	717	702	1079	845
ENSG00000000938.13	8546	8234	7789	7174	7352	17279	4030	6219	6282	6712	10806	9700
ENSG00000233975.2	22	9	42	15	24	64	8	16	12	15	24	35
ENSG00000126709.16	6949	9217	5125	6437	8551	11324	4830	5907	4082	4070	7102	5231
ENSG00000009780.16	371	285	269	311	234	711	173	251	299	183	420	351
ENSG00000230833.1	8	6	6	6	2	37	10	6	12	6	4	12
ENSG00000117758.14	1430	1313	992	1389	1052	2356	593	1022	909	867	1044	1163
ENSG00000269971.1	18	6	3	9	4	37	2	4	2	12	1	8
ENSG00000117751.18	607	542	431	489	514	1117	244	437	411	417	388	597
ENSG00000252947.1	53	116	34	75	86	202	23	115	104	80	92	132
ENSG00000130775.16	3644	4454	2777	3787	4130	7702	2454	3517	3052	3619	4069	3773
ENSG00000117748.10	375	349	298	396	396	761	166	282	297	302	366	399
ENSG00000158156.9	276	260	216	176	230	404	123	215	156	202	230	220
ENSG00000158161.16	1821	1837	1777	1847	1701	5172	875	1626	1723	1493	2216	2782
ENSG00000238231.2	16	28	28	25	39	70	13	13	14	23	24	21
ENSG00000240750.3	19	22	24	20	19	42	6	22	34	22	51	40
ENSG00000289576.1	25	20	8	15	12	54	6	22	50	10	33	13
ENSG00000214812.3	6	10	8	18	19	40	10	17	21	10	34	21
ENSG00000169403.12	10223	11157	9223	9193	9556	23835	5492	8835	9200	7162	10147	12902
