Geneid	HCT_NS_1	HCT_NS_2	HCT_NS_3	HCT_TNF_1	HCT_TNF_2	HCT_TNF_3	SCZ_NS_1	SCZ_NS_2	SCZ_NS_3	SCZ_TNF_1	SCZ_TNF_2	SCZ_TNF_3
ENSG00000168944.17	483	407	350	497	348	842	253	339	398	349	433	479
ENSG00000250539.1	76	107	44	51	76	138	39	69	47	85	77	55
ENSG00000151292.18	527	424	362	485	330	876	261	392	311	325	479	474
ENSG00000155324.10	44	46	90	67	32	182	20	47	70	32	85	116
ENSG00000279118.1	4	4	3	2	4	22	4	4	2	0	10	4
ENSG00000164904.18	234	292	272	233	229	735	110	187	293	165	343	304
ENSG00000164902.14	616	616	599	586	490	1235	325	418	519	434	873	613
ENSG00000113368.12	602	587	459	564	644	1407	299	433	520	331	542	675
ENSG00000173926.6	216	250	125	234	202	438	122	161	140	180	354	278
ENSG00000145794.17	6	2	12	6	4	32	6	9	20	10	18	14
ENSG00000164244.21	2052	1789	1249	1822	1345	3102	987	1669	1277	1375	1490	1608
ENSG00000245937.9	310	233	251	292	231	763	117	202	284	192	322	323
ENSG00000064651.14	382	227	378	333	206	889	109	220	324	221	449	494
ENSG00000138829.12	170	174	79	130	161	201	92	96	60	80	94	64
ENSG00000066583.12	264	248	361	265	218	765	104	183	282	187	425	505
ENSG00000286274.1	8	2	9	8	10	26	2	6	4	2	10	6
ENSG00000169567.13	1401	1248	1038	1277	1130	2954	577	940	1131	833	1300	1526
ENSG00000186687.16	203	202	187	249	140	523	82	170	229	152	339	280
ENSG00000158985.14	1382	1079	1143	1156	789	2953	586	1077	1193	733	1236	1561
ENSG00000158987.22	233	202	178	192	145	559	116	175	210	137	365	217
ENSG00000217128.13	1799	1531	1283	1578	1274	2838	799	1327	1189	1215	1570	1630
ENSG00000286676.1	55	65	32	45	44	99	34	70	35	32	61	46
ENSG00000164400.6	2	28	0	14	0	8	0	20	2	12	14	0
ENSG00000072682.20	803	855	461	600	778	1069	498	719	465	595	552	552
ENSG00000131435.13	221	293	549	241	306	804	159	232	281	257	817	631
ENSG00000197208.6	216	195	165	237	228	366	149	204	127	178	193	181
ENSG00000233006.8	119	109	46	94	117	158	60	104	67	69	69	49
ENSG00000197375.14	781	653	364	478	513	898	349	402	377	403	355	431
ENSG00000197536.11	262	320	195	320	335	582	133	215	240	223	219	266
ENSG00000238160.1	27	13	21	14	18	35	6	10	6	15	21	12
ENSG00000125347.15	1119	1360	1045	1388	1380	2564	567	1093	958	1039	1605	1275
ENSG00000113522.14	247	194	154	164	199	376	150	121	178	143	304	221
ENSG00000131437.16	86	77	104	104	76	197	36	79	78	52	115	86
ENSG00000164402.14	481	478	323	317	426	775	228	297	367	250	325	360
ENSG00000164403.15	121	142	62	86	105	165	92	101	68	71	116	67
ENSG00000164405.11	932	926	891	800	746	1976	448	684	680	696	1310	1140
ENSG00000072364.13	4357	4224	3421	4248	3349	8519	2250	3686	3213	3066	4173	4441
ENSG00000155329.12	206	137	159	205	113	387	72	144	185	110	197	207
ENSG00000170606.16	2440	2246	2131	2271	1996	4699	1114	1810	1902	1723	2399	2473
ENSG00000113583.8	862	763	797	897	614	2380	399	769	803	696	1080	1312
ENSG00000213585.11	3716	2885	3538	3447	2554	8023	1609	2683	3092	2369	3456	4415
ENSG00000271737.1	10	13	4	5	9	20	6	21	4	13	6	14
ENSG00000081059.20	197	244	83	299	280	360	150	293	89	209	68	95
ENSG00000113558.19	1287	1085	996	1163	907	2363	592	987	971	791	1089	1306
ENSG00000113575.10	1298	1003	1180	1287	810	2776	538	931	1000	838	1382	1564
ENSG00000273345.5	12	16	6	10	10	23	4	23	9	8	18	8
ENSG00000270177.1	17	18	10	12	10	28	6	18	16	18	20	10
ENSG00000006837.12	12	24	25	10	18	45	4	18	20	8	31	31
ENSG00000119048.9	615	557	463	547	299	1225	229	472	513	388	727	703
ENSG00000237190.4	141	124	106	139	170	266	49	128	95	82	125	171
ENSG00000043143.22	1928	1925	1288	1512	1803	3256	1027	1419	1325	1386	1295	1486
ENSG00000152700.14	1220	849	767	1123	720	1880	469	788	777	628	939	1024
ENSG00000113615.13	1647	1424	1079	1670	1035	2454	731	1284	973	1148	964	1321
ENSG00000164615.6	404	348	230	350	323	599	182	269	175	242	392	262
ENSG00000145833.16	1866	1732	1354	1727	1484	3341	826	1355	1384	1392	2012	1672
ENSG00000181904.9	530	443	460	485	335	1076	236	348	387	282	460	515
ENSG00000113621.15	566	578	357	527	514	910	274	494	362	470	539	514
ENSG00000132570.15	481	431	418	421	355	1148	243	343	465	361	580	606
ENSG00000279799.1	34	58	38	48	47	96	20	45	35	38	81	50
ENSG00000249119.1	19	17	11	22	7	57	4	13	31	11	28	30
ENSG00000248923.1	30	38	12	14	24	56	10	40	12	26	12	34
ENSG00000247627.2	26	18	22	12	30	62	10	26	8	18	16	26
ENSG00000263963.1	13	12	10	2	0	22	3	2	10	7	11	5
ENSG00000152705.8	4	14	5	11	4	42	8	10	7	8	5	23
ENSG00000069011.16	12	6	71	12	17	168	0	9	30	14	157	112
ENSG00000224186.8	3	1	5	2	0	24	0	0	4	4	12	16
ENSG00000113648.17	12328	12908	9060	10374	10825	21174	6725	9685	8992	8904	13215	11260
